cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
C_teststation_testyears,windup_12h,climatology,0.23173230265801784,0.0,0.5125224022878933,2924,,,,
C_teststation_testyears,windup_12h,persistence,0.3587551299589603,-0.5481446731593487,0.5,2924,,,,
C_teststation_testyears,windup_12h,zambretti_cal,0.2349612078406203,-0.013975920248532336,0.518172447131344,2902,,,,
C_teststation_testyears,windup_12h,sager_cal,0.22983402896238245,0.0004626399274498816,0.524833752896097,2802,,,,
C_teststation_testyears,windup_12h,logreg,0.21576263329207632,0.06891429974486107,0.8195457260883381,2924,,,,
C_teststation_testyears,windup_12h,sager_faithful,0.4732334047109208,-1.0580697739946854,0.5193514970593477,2802,,,,
C_teststation_testyears,windup_24h,climatology,0.2513026792859747,0.0,0.511208028777575,2920,,,,
C_teststation_testyears,windup_24h,persistence,0.4678082191780822,-0.8615329550296231,0.5,2920,,,,
C_teststation_testyears,windup_24h,zambretti_cal,0.254347855726746,-0.011556558996678179,0.5106363445096876,2898,,,,
C_teststation_testyears,windup_24h,sager_cal,0.2536832401379204,-0.015165811657290362,0.5076897879677496,2798,,,,
C_teststation_testyears,windup_24h,logreg,0.2432624962715048,0.03199402026796705,0.7891583803004009,2920,,,,
C_teststation_testyears,windup_24h,sager_faithful,0.49535382416011436,-0.9822605020641137,0.5021996166933295,2798,,,,
C_teststation_testyears,pfall_6h,climatology,0.08482322178678077,0.0,0.680892403051494,2926,,,,
C_teststation_testyears,pfall_6h,persistence,0.24436090225563908,-1.8808255228725748,0.7336392773892775,2926,,,,
C_teststation_testyears,pfall_6h,zambretti_cal,0.10996347120807042,-0.2883440880139756,0.6684805835875355,2904,,,,
C_teststation_testyears,pfall_6h,sager_cal,0.10110011525465558,-0.18305702676616997,0.6984634413410384,2804,,,,
C_teststation_testyears,pfall_6h,logreg,0.7477780305956563,-7.815723039562656,0.4183950519177792,2926,,,,
C_teststation_testyears,pfall_12h,climatology,0.17975852877082288,0.0,0.6077214596245738,2924,,,,
C_teststation_testyears,pfall_12h,persistence,0.2862517099863201,-0.5924235247344907,0.6404546433958199,2924,,,,
C_teststation_testyears,pfall_12h,zambretti_cal,0.19830117316767085,-0.0979859558183227,0.5702539699609277,2902,,,,
C_teststation_testyears,pfall_12h,sager_cal,0.18645223329301694,-0.03019901419457316,0.5769917243083004,2802,,,,
C_teststation_testyears,pfall_12h,logreg,0.6320912034105812,-2.5163349841188607,0.4753203543860983,2924,,,,
C_teststation_testyears,pfall_24h,climatology,0.23879514926550877,0.0,0.560092020896493,2920,,,,
C_teststation_testyears,pfall_24h,persistence,0.3571917808219178,-0.49580836093436553,0.6057563685431063,2920,,,,
C_teststation_testyears,pfall_24h,zambretti_cal,0.2590853955508627,-0.08266591321615402,0.526407672981277,2898,,,,
C_teststation_testyears,pfall_24h,sager_cal,0.2406268203931011,-0.006435653839410804,0.5589367967183411,2798,,,,
C_teststation_testyears,pfall_24h,logreg,0.49934449464551756,-1.0910998241857595,0.5984838749247925,2920,,,,
C_teststation_testyears,cond_12h,persistence,,,,2925,,,0.24050502333840806,0.24235246875265717
C_teststation_testyears,cond_12h,zambretti,,,,2925,,,0.06743209732936434,0.0716599608853354
C_teststation_testyears,cond_12h,sager,,,,2803,,,0.11756324509946557,0.139803472486597
C_teststation_testyears,cond_24h,persistence,,,,2921,,,0.18888405374403286,0.1904318746862195
C_teststation_testyears,cond_24h,zambretti,,,,2921,,,0.056670140076521026,0.06023796210283285
C_teststation_testyears,cond_24h,sager,,,,2799,,,0.07534884345464377,0.08945739400003924
B_teststation_trainyears,precip_6h,climatology,0.18706767531383564,0.0,0.6324001923541613,5840,,,,
B_teststation_trainyears,precip_6h,persistence,0.18835616438356165,-0.006887823177170294,0.6651667906760866,5840,,,,
B_teststation_trainyears,precip_6h,zambretti_cal,0.20104387761351164,-0.07729411951833698,0.49327959665512405,5820,,,,
B_teststation_trainyears,precip_6h,sager_cal,0.18205603172346208,0.04363330183757319,0.6804716829776993,3959,,,,
B_teststation_trainyears,precip_6h,logreg,0.15499977261109496,0.17142407232538548,0.7544257606243376,5840,,,,
B_teststation_trainyears,precip_6h,sager_faithful,0.388481939883809,-1.0407518862476257,0.6572382480346542,3959,,,,
B_teststation_trainyears,precip_12h,climatology,0.21724848602522073,0.0,0.634322970400528,5840,,,,
B_teststation_trainyears,precip_12h,persistence,0.27071917808219176,-0.24612688003157612,0.6285341061509823,5840,,,,
B_teststation_trainyears,precip_12h,zambretti_cal,0.23573699692924033,-0.08702088398472485,0.505680478209411,5820,,,,
B_teststation_trainyears,precip_12h,sager_cal,0.21451964914697982,0.018128094815419327,0.6625675422345729,3959,,,,
B_teststation_trainyears,precip_12h,logreg,0.19414810952961997,0.1063315879352964,0.7297926890644544,5840,,,,
B_teststation_trainyears,precip_12h,sager_faithful,0.3783783783783784,-0.7318651262779259,0.6401928675400292,3959,,,,
B_teststation_trainyears,precip_24h,climatology,0.2334450571996955,0.0,0.643671947005149,5840,,,,
B_teststation_trainyears,precip_24h,persistence,0.3969178082191781,-0.7002622072209626,0.5961296601849714,5840,,,,
B_teststation_trainyears,precip_24h,zambretti_cal,0.25860141328253244,-0.10894462548632089,0.49540145479229347,5820,,,,
B_teststation_trainyears,precip_24h,sager_cal,0.23705438403982598,-0.01832621673553958,0.6320148066537535,3959,,,,
B_teststation_trainyears,precip_24h,logreg,0.21714739989665813,0.06981367478299572,0.7083452999731572,5840,,,,
B_teststation_trainyears,precip_24h,sager_faithful,0.37635766607729226,-0.6167382003427464,0.6241500801035781,3959,,,,
B_teststation_trainyears,windup_6h,climatology,0.1718967618874,0.0,0.523937984496124,5840,,,,
B_teststation_trainyears,windup_6h,persistence,0.2208904109589041,-0.28501787080548446,0.5,5840,,,,
B_teststation_trainyears,windup_6h,zambretti_cal,0.17445535803452403,-0.013019902854455312,0.5275310553502729,5820,,,,
B_teststation_trainyears,windup_6h,sager_cal,0.1754287386970221,-0.016282993901476583,0.5508774616906316,3959,,,,
B_teststation_trainyears,windup_6h,logreg,0.2404212372743532,-0.39863738347694855,0.7425012351989096,5840,,,,
B_teststation_trainyears,windup_6h,sager_faithful,0.4910330891639303,-1.8446227320944688,0.501301152971744,3959,,,,
B_teststation_trainyears,windup_12h,climatology,0.21696936653205262,0.0,0.52854080253279,5840,,,,
B_teststation_trainyears,windup_12h,persistence,0.3196917808219178,-0.47344201594786006,0.5,5840,,,,
B_teststation_trainyears,windup_12h,zambretti_cal,0.22316800408643703,-0.027168021114539753,0.5304050574099464,5820,,,,
