cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
A_trainstation_testyears,windup_6h,sager_cal,0.18335262317454126,0.013647875960908884,0.6013048904617043,629495,0.012342088111072774,0.014911524284392741,,
A_trainstation_testyears,windup_6h,logreg,0.1349401460613087,0.2809932283512079,0.8229734472096164,661937,0.2767425791999453,0.28473532320329104,,
A_trainstation_testyears,windup_6h,sager_faithful,0.42234648408645026,-1.272028315965514,0.5000162879555533,629495,,,,
A_trainstation_testyears,windup_12h,climatology,0.23371597542013853,0.0,0.5775123754949241,663278,,,,
A_trainstation_testyears,windup_12h,persistence,0.3889862169407096,-0.6643544209652343,0.5,663278,,,,
A_trainstation_testyears,windup_12h,zambretti_cal,0.2364793645586456,-0.012237962571844507,0.5424156308758257,660425,-0.013207093745070337,-0.011274228215340293,,
A_trainstation_testyears,windup_12h,sager_cal,0.2296258548556792,0.015501437687065911,0.600548065715918,630557,0.013941835809066619,0.01700124177943402,,
A_trainstation_testyears,windup_12h,logreg,0.15797708326984533,0.3240638215429711,0.832362624651725,663278,0.3201560032718554,0.3281021139425053,,
A_trainstation_testyears,windup_12h,sager_faithful,0.4755922145024161,-1.0390554527020983,0.48845260990932254,630557,,,,
A_trainstation_testyears,windup_24h,climatology,0.2445987169166664,0.0,0.5796707659749005,662910,,,,
A_trainstation_testyears,windup_24h,persistence,0.5229186465734413,-1.1378634081371621,0.5,662910,,,,
A_trainstation_testyears,windup_24h,zambretti_cal,0.24850927289715544,-0.016025184645918067,0.5371989612467541,660165,-0.017314410556093764,-0.014656542567819071,,
A_trainstation_testyears,windup_24h,sager_cal,0.24278953089572508,0.007218956751629313,0.5919159167257076,630378,0.0055220306068110014,0.008926097982996812,,
A_trainstation_testyears,windup_24h,logreg,0.17533633909169302,0.2831673800176586,0.8111930276730205,662910,0.2799430349084521,0.28664206034423323,,
A_trainstation_testyears,windup_24h,sager_faithful,0.5135252182024119,-1.0998356065043757,0.49294128857967845,630378,,,,
A_trainstation_testyears,pfall_6h,climatology,0.10535830114676042,0.0,0.7881712891531016,667575,,,,
A_trainstation_testyears,pfall_6h,persistence,0.20210912631539527,-0.9183028210929893,0.6950277156544872,667575,,,,
A_trainstation_testyears,pfall_6h,zambretti_cal,0.10759766879607392,-0.020040840620935585,0.6944122888959154,664824,-0.023861824202986576,-0.016107683607993237,,
A_trainstation_testyears,pfall_6h,sager_cal,0.11554602991600274,-0.09778044076400927,0.6558653492156032,629889,-0.10247511280427199,-0.09236241711194372,,
A_trainstation_testyears,pfall_6h,logreg,0.08888762407833453,0.15633013145763253,0.8508339571624692,667575,0.15219616210199394,0.1602949441409279,,
A_trainstation_testyears,pfall_12h,climatology,0.16896458071319753,0.0,0.7373805628876471,668217,,,,
